book_id,PC0,PC1,PC2,PC3,PC4
43,0.14371708310679693,-0.18473816226941223,-0.3050825476978884,-0.06371008137728461,0.7590345303972852
175,0.1382829533229056,-0.21889220246027322,-0.26340125254374086,0.009610959222983693,-0.3830002625019057
345,0.1293659876535115,-0.13170975756913325,-0.3021388625814995,-0.005749116141520539,-0.07906401473989316
696,-0.31426677049186097,0.1272968554395242,0.29557132774333894,-0.4331522439380677,-0.05627465777937064
1952,0.5048371859431975,0.8005914099273566,0.010125087194567013,-0.018370645129815236,0.030087975209011783
3268,-0.3262445683162879,0.004679308470319466,0.002116482017327351,0.006884488735040335,-0.09408612305149404
5182,-0.3118457071017376,0.07052116929821861,0.11937325237740593,-0.33577196901880707,0.034473089309709576
6087,-0.23639266379143356,0.12080080797228684,0.17392407463846205,0.736602782509635,0.030445025150744237
12122,0.4959242528747073,-0.3940707999521919,0.6891661891724746,0.027394260692968044,0.05153175298674085
41445,-0.34457917710810704,-0.015515614593870014,-0.08012203414585992,0.11764414624045746,0.019683143846281993
53685,-0.2656914063813222,-0.03232053886810466,-0.07377342213406386,0.005597582071389472,-0.016457929451383933
20180856,0.3868928302896312,-0.1466424753947204,-0.26575829404052453,-0.046980163866979806,-0.2963725293757263
